Date,UserID,Key,Value
2026-08-14T00:41:56.007Z,console_user,Opcion_Elegida,"G"
2026-08-14T00:42:02.538Z,console_user,Nombre_y_Apellido,"Lucas Avila"
2026-08-14T00:42:11.244Z,console_user,Telefono_WhatsApp_Email,"Quiero saber cual es la razon de la vida"
2026-08-14T00:43:48.936Z,console_user,Consulta_Personalizada,"Quiero saber cual es el significado de la vida"
2026-08-14T00:59:32.634Z,console_user,Opcion_Elegida,"b"
2026-08-14T00:59:43.299Z,console_user,Accion_Reinicio,"VER MENU"
2026-08-14T00:59:50.423Z,console_user,Opcion_Elegida,"a"
2026-08-14T01:00:10.464Z,console_user,Accion_Reinicio,"VER MENU"
2026-08-14T01:00:12.376Z,console_user,Opcion_Elegida,"D"
2026-08-14T01:00:22.726Z,console_user,Accion_Reinicio,"VER MENU"
2026-08-14T01:00:25.685Z,console_user,Opcion_Elegida,"E"
2026-08-14T01:00:39.933Z,console_user,Accion_Reinicio,"F"
2026-08-14T01:00:44.257Z,console_user,Accion_Reinicio,"VER MENU"
2026-08-14T01:00:46.623Z,console_user,Opcion_Elegida,"F"
2026-08-14T01:01:19.429Z,console_user,Accion_Reinicio,"VER MENU"
2026-08-14T01:01:23.470Z,console_user,Opcion_Elegida,"C"
2026-08-14T01:01:27.514Z,console_user,Nombre_y_Apellido,"LUcas Avila"
2026-08-14T01:01:33.301Z,console_user,Telefono_WhatsApp_Email,"tester@tester.com"
2026-08-14T01:01:39.995Z,console_user,Curso_Interes,"Croche basico"
2026-08-14T01:50:26.284Z,console_user,Opcion_Elegida,"g"
2026-08-14T01:50:34.456Z,console_user,Nombre_y_Apellido,"lucas Avila"
2026-08-14T01:50:38.742Z,console_user,Telefono_WhatsApp_Email,"123123123"
2026-08-14T01:50:48.357Z,console_user,Consulta_Personalizada,"quiero saber el significado de la dvida"
2026-08-14T01:50:55.408Z,console_user,Accion_Reinicio,"VER MENU"
2026-08-14T02:19:14.330Z,console_user,Opcion_Elegida,"clear"
